state,total_admissions,avg_icu_utilization,avg_bed_occupancy,total_deaths
AK,10643.0,0.7132044784378976,0.6841499859593916,1175.0
AL,134863.0,0.8284589999299771,0.7311617758524489,13024.0
AR,77547.0,0.71811297433548,0.6858152421635875,7150.0
AS,225.0,0.5417095777548918,0.4639821489872983,0.0
AZ,173899.0,0.6461937237232407,0.7486291697698735,27091.0
CA,698704.0,0.7333981443869093,0.747647847600971,73666.0
CO,109235.0,0.6394563533667057,0.6572044957323463,5271.0
CT,73609.0,0.6415716858757482,0.7548076979718673,5806.0
DC,19054.0,0.7778164033928451,0.7802550090210317,2058.0
DE,22594.0,0.7597883725589741,0.7678572249670415,1216.0
FL,634014.0,0.7568286660465531,0.7396797257514879,57207.0
GA,279230.0,0.799628679522373,0.7670169157774454,21182.0
HI,22812.0,0.6532720779254856,0.7075060211850208,1004.0
IA,62124.0,0.6938976665771189,0.6347983742196665,10480.0
ID,31366.0,0.7242419487062245,0.6351681862471578,2936.0
IL,258683.0,0.6316727636774888,0.6789394925385318,21034.0
IN,156513.0,0.6948572907107198,0.6624058811037851,15644.0
KS,64316.0,0.7193106549701869,0.5690036932212351,5153.0
KY,169427.0,0.756436714479053,0.6958010843923293,14068.0
LA,120009.0,0.721447308976377,0.6757764950518982,8550.0
MA,123908.0,0.7670365944566078,0.822885272649827,9494.0
MD,107509.0,0.7066605521780565,0.8031926976271886,9461.0
ME,17559.0,0.6925912639441275,0.7105366591907576,1074.0
MI,216063.0,0.7736065459615746,0.7603537131798584,25885.0
MN,88248.0,0.7421513691040637,0.766607048650702,5083.0
MO,146974.0,0.7804900657061585,0.7684816829764161,14755.0
MS,61760.0,0.7779206213775907,0.6372164283645657,9418.0
MT,32861.0,0.6036167158431268,0.6310236184115255,2952.0
NC,188666.0,0.8026164283937665,0.7738970363465922,27462.0
ND,16801.0,0.5644565604439912,0.6976717310640302,1240.0
NE,35528.0,0.732708489690708,0.6719533244472787,3173.0
NH,21014.0,0.7261268749151557,0.7610766928511898,865.0
NJ,194512.0,0.46426976626174904,0.6955484269443669,18001.0
NM,42095.0,0.8007904289721857,0.7079711529472633,3844.0
NV,71345.0,0.7723355243621286,0.7371511935359738,8130.0
NY,434530.0,0.6926004728911126,0.7636007266680677,82681.0
OH,289188.0,0.7094666951779353,0.7321016401953965,20406.0
OK,127176.0,0.7645079091712369,0.669446699876262,8642.0
OR,52827.0,0.7198472641009596,0.7459103250021141,16819.0
PA,276950.0,0.7611087085161499,0.7629586167610157,28783.0
PR,33488.0,0.707697880800219,0.6195508676076448,7797.0
RI,15166.0,0.8285982805741494,0.8709036868275771,1751.0
SC,107698.0,0.711958679603114,0.7658543012836126,12944.0
SD,21912.0,0.5583982341653752,0.6073050191784914,1302.0
TN,147092.0,0.6819744611518714,0.6926873925400558,18696.0
TX,687128.0,0.864990160868297,0.7529268712954984,67902.0
UT,52057.0,0.6624383588929547,0.6065372412627854,1222.0
VA,140714.0,0.6840033841371208,0.6999225988980661,16455.0
VI,663.0,0.4807991673776345,0.5888769226908971,55.0
VT,7435.0,0.700568833425324,0.6829781148305225,347.0
WA,87664.0,0.7655416447579757,0.779619909268063,8798.0
WI,144004.0,0.6676019506391527,0.676151698539207,11364.0
WV,48445.0,0.7608893830642944,0.7590683566384211,3688.0
WY,12942.0,0.39812311282482593,0.4463493515388846,796.0
